,Competitorcount,review_count,categories,opentime,closetime,stars,priceRange,noiselevel,delivery,avg_Income,population
0,13,58,Others,17:00,5:00,4.0,1,average,False,27031,14326
1,13,15,Others,6:00,18:00,3.5,1,quiet,False,27031,14326
2,13,191,Others,7:30,16:30,4.5,1,quiet,False,27031,14326
3,13,4,Others,8:00,16:00,4.5,0,,,27031,14326
4,13,11,Others,11:00,0:00,2.5,2,,,27031,14326
5,13,47,Others,11:00,21:00,4.0,2,quiet,False,27031,14326
6,13,37,Others,11:30,22:00,4.0,2,quiet,False,27031,14326
7,13,24,Others,7:00,15:00,3.5,1,average,False,27031,14326
8,13,5,Others,9:00,19:00,4.5,1,,False,27031,14326
9,13,14,Others,8:00,20:00,4.0,1,average,False,27031,14326
10,13,66,Others,8:00,18:00,3.0,2,quiet,False,27031,14326
11,13,5,Others,17:00,21:30,4.0,2,,False,27031,14326
12,13,38,Others,4:00,21:00,4.0,1,average,False,27031,14326
13,1,3,Others,8:30,20:00,3.0,1,quiet,False,34727,21022
14,32,78,Others,11:00,22:00,4.5,1,average,False,27595,9613
15,32,61,Others,11:30,14:30,4.0,2,average,True,27595,9613
16,32,7,Others,10:00,22:00,3.0,1,,False,27595,9613
17,32,9,Others,11:00,23:00,3.5,4,,False,27595,9613
18,32,105,Others,17:00,22:00,4.5,2,average,False,27595,9613
19,32,46,Others,11:00,2:00,3.0,2,loud,False,27595,9613
20,32,68,Others,11:00,22:00,3.5,2,average,False,27595,9613
21,32,19,Others,9:00,17:30,2.0,1,average,False,27595,9613
22,32,62,Others,11:00,0:00,3.0,2,loud,False,27595,9613
23,32,26,Others,11:00,0:00,4.0,1,average,False,27595,9613
24,32,3,Others,11:00,2:00,4.5,1,,False,27595,9613
25,32,43,Others,11:00,22:30,4.0,1,average,False,27595,9613
26,32,4,Others,7:00,23:00,5.0,1,average,False,27595,9613
27,32,106,Others,6:00,2:00,4.0,1,average,False,27595,9613
28,32,40,Others,7:00,16:00,3.5,2,quiet,True,27595,9613
29,32,26,Others,11:00,3:00,4.5,1,average,False,27595,9613
30,32,7,Others,11:00,2:00,3.5,2,average,False,27595,9613
31,32,22,Others,16:00,1:00,4.0,2,average,True,27595,9613
32,32,103,Others,16:00,2:00,3.0,3,average,False,27595,9613
33,32,28,Others,16:30,22:00,4.0,3,quiet,,27595,9613
34,32,28,Others,11:30,21:00,2.0,3,,False,27595,9613
35,32,4,Others,9:00,21:00,4.0,2,average,False,27595,9613
36,32,25,Others,11:00,22:00,3.5,2,quiet,False,27595,9613
37,32,23,Others,19:00,2:00,2.5,2,loud,False,27595,9613
38,32,29,Others,11:00,2:00,4.5,1,loud,False,27595,9613
39,32,5,Others,10:00,22:00,4.0,1,average,True,27595,9613
40,32,80,Others,8:00,0:00,4.0,1,,False,27595,9613
41,32,5,Others,10:00,22:00,4.0,2,,False,27595,9613
42,32,12,Others,7:00,22:00,4.0,2,average,True,27595,9613
43,32,316,Others,11:00,23:00,4.0,2,very_loud,False,27595,9613
44,32,182,Others,11:00,1:00,4.5,2,average,False,27595,9613
45,32,131,Others,11:30,22:30,3.5,3,average,False,27595,9613
46,4,8,Others,11:00,15:00,5.0,1,average,True,38507,22586
47,4,16,Others,17:00,22:00,3.5,1,average,True,38507,22586
48,4,36,Others,6:00,16:00,4.0,1,average,False,38507,22586
49,4,3,Others,11:00,2:00,1.5,0,,,38507,22586
50,22,136,Others,11:00,22:00,3.5,2,average,False,28517,32482
51,22,199,Others,11:30,22:00,4.0,3,average,False,28517,32482
52,22,92,Others,7:00,19:00,4.5,1,average,False,28517,32482
53,22,4,Others,12:00,22:00,4.0,2,,True,28517,32482
54,22,372,Others,11:00,22:00,4.0,2,average,False,28517,32482
55,22,12,Others,9:00,17:00,4.5,2,quiet,False,28517,32482
56,22,104,Others,11:00,21:00,3.5,1,average,False,28517,32482
57,22,122,Others,11:00,0:00,3.5,2,average,False,28517,32482
58,22,44,Others,16:00,23:00,4.0,2,average,False,28517,32482
59,22,64,Others,17:00,22:00,4.0,2,quiet,False,28517,32482
60,22,143,Others,8:00,17:00,4.0,1,average,False,28517,32482
61,22,60,Others,11:00,23:00,3.0,2,loud,True,28517,32482
62,22,103,Others,17:00,22:00,3.5,2,average,False,28517,32482
63,22,3,Others,11:00,15:00,5.0,0,,True,28517,32482
64,22,131,Others,17:00,22:00,4.0,2,average,False,28517,32482
65,22,241,Others,11:00,22:00,3.5,2,average,False,28517,32482
66,22,13,Others,10:00,19:00,4.0,3,,False,28517,32482
67,22,141,Others,11:00,22:00,4.5,2,average,False,28517,32482
68,22,3,Others,7:00,19:00,4.5,1,,False,28517,32482
69,22,17,Others,8:00,18:00,4.5,1,quiet,False,28517,32482
70,22,18,Others,8:00,18:00,3.0,3,,,28517,32482
71,22,13,Others,10:00,21:00,3.5,1,,False,28517,32482
72,1,25,Others,11:00,18:00,4.0,2,quiet,False,28156,13203
73,3,60,Others,8:00,21:00,4.5,2,average,False,24178,13352
74,3,11,Others,11:00,22:30,4.5,2,quiet,False,24178,13352
75,3,9,Others,10:00,23:00,3.0,1,average,False,24178,13352
76,3,9,Others,8:00,20:00,2.5,1,quiet,False,38292,12891
77,3,3,Others,6:00,5:30,4.5,1,loud,False,38292,12891
78,3,28,Others,5:30,20:00,4.0,1,loud,False,38292,12891
79,3,23,Others,11:00,22:00,4.0,2,quiet,True,34067,12477
80,3,27,Others,6:00,20:00,4.0,1,average,True,34067,12477
81,3,39,Others,11:00,23:00,4.0,1,average,False,34067,12477
82,12,4,Others,9:00,18:00,3.5,3,very_loud,,26712,31850
83,12,5,Others,16:00,0:00,3.5,2,quiet,False,26712,31850
84,12,110,Others,11:00,22:00,4.0,2,average,False,26712,31850
85,12,6,Others,16:00,0:00,4.0,2,,False,26712,31850
86,12,5,Others,6:00,22:00,4.0,2,average,False,26712,31850
87,12,12,Others,12:00,20:00,4.0,1,average,False,26712,31850
88,12,12,Others,6:30,18:00,4.5,1,,True,26712,31850
89,12,3,Others,10:00,17:00,2.5,0,,False,26712,31850
90,12,111,Others,11:00,23:00,3.5,2,average,False,26712,31850
91,12,6,Others,9:00,15:00,4.5,1,average,False,26712,31850
92,12,25,Others,11:00,22:00,4.5,1,quiet,False,26712,31850
93,12,8,Others,7:00,14:00,4.0,1,,,26712,31850
94,39,3,Others,8:00,21:00,4.0,2,quiet,True,18473,28320
95,39,125,Others,11:30,14:30,4.0,2,average,True,18473,28320
96,39,6,Others,11:30,21:30,4.0,1,,True,18473,28320
97,39,4,Others,9:00,2:00,2.5,1,average,,18473,28320
98,39,12,Others,11:00,0:00,2.0,1,,True,18473,28320
99,39,8,Others,11:00,21:30,4.5,1,very_loud,,18473,28320
100,39,21,Others,11:00,22:00,3.0,2,,True,18473,28320
101,39,7,Others,11:00,17:00,3.5,1,,False,18473,28320
102,39,5,Others,16:00,22:00,3.5,2,quiet,False,18473,28320
103,39,6,Others,0:00,0:00,3.5,1,average,False,18473,28320
104,39,20,Others,11:00,2:00,3.0,2,average,True,18473,28320
105,39,8,Others,11:00,19:00,5.0,0,,True,18473,28320
106,39,6,Others,11:00,22:00,4.5,1,quiet,True,18473,28320
107,39,16,Others,9:00,20:00,5.0,1,average,True,18473,28320
108,39,141,Others,10:00,13:30,3.5,1,average,False,18473,28320
109,39,7,Others,12:00,23:00,3.5,1,quiet,True,18473,28320
110,39,35,Others,11:00,22:00,3.0,2,quiet,True,18473,28320
111,39,21,Others,10:30,18:00,4.0,1,quiet,False,18473,28320
112,39,197,Others,11:30,21:00,4.0,2,average,False,18473,28320
113,39,6,Others,6:00,16:00,3.5,1,,,18473,28320
114,39,4,Others,8:00,22:00,4.0,1,,,18473,28320
115,39,39,Others,7:00,18:00,3.0,1,very_loud,False,18473,28320
116,39,57,Others,9:00,17:00,4.0,1,average,False,18473,28320
117,39,6,Others,17:00,1:00,4.0,2,very_loud,False,18473,28320
118,39,100,Others,17:00,23:00,3.5,2,average,True,18473,28320
119,39,102,Others,17:00,20:30,4.5,2,average,False,18473,28320
120,39,21,Others,11:00,22:00,3.0,2,quiet,,18473,28320
121,39,5,Others,9:00,20:00,1.5,1,average,False,18473,28320
122,39,18,Others,11:00,22:00,3.5,2,average,False,18473,28320
123,39,4,Others,10:00,23:00,3.5,1,loud,False,18473,28320
124,39,91,Others,7:30,16:00,3.5,1,average,False,18473,28320
125,39,3,Others,10:00,22:00,4.0,1,,False,18473,28320
126,39,8,Others,17:00,23:00,2.0,1,,False,18473,28320
127,39,33,Others,10:00,22:00,3.5,1,average,False,18473,28320
128,39,6,Others,10:00,20:30,4.0,2,quiet,False,18473,28320
129,39,5,Others,13:00,17:00,4.0,2,average,False,18473,28320
130,39,4,Others,0:00,0:00,3.5,1,quiet,False,18473,28320
131,39,4,Others,6:00,20:00,3.5,1,average,True,18473,28320
132,39,35,Others,11:00,23:00,3.5,1,average,True,18473,28320
133,2,25,Others,11:30,22:00,3.0,3,average,False,43750,13212
134,2,7,Others,11:00,20:00,4.0,1,quiet,False,43750,13212
135,12,32,Others,11:00,20:00,4.0,2,quiet,False,39526,24691
136,12,173,Others,6:00,15:00,4.5,1,average,False,39526,24691
137,12,11,Others,11:00,22:00,3.0,1,quiet,,39526,24691
138,12,5,Others,11:00,21:30,4.0,1,,False,39526,24691
139,12,6,Others,11:30,14:30,3.0,0,,,39526,24691
140,12,12,Others,11:00,22:00,3.0,2,quiet,True,39526,24691
141,12,55,Others,11:30,22:00,3.5,2,average,False,39526,24691
142,12,5,Others,11:00,22:00,2.5,0,,False,39526,24691
143,12,24,Others,11:00,22:00,3.5,1,average,False,39526,24691
144,12,40,Others,11:00,20:00,4.5,1,average,False,39526,24691
145,12,19,Others,9:00,20:00,2.5,2,quiet,False,39526,24691
146,12,8,Others,16:00,2:00,3.5,1,average,False,39526,24691
147,13,70,Others,11:30,22:00,3.0,2,average,True,45173,26425
